# P2-A1 server-authoritative bullet inventory (Mindustry v158.1 baseline).
# Columns: bullet_id, consumers, direct, splash, pierce, status, frag, continuous,
# lightning, heal, point_defense, spawnUnit, sticky
# Values: IMPLEMENTED | DEVIATION | — (not applicable / not used by this bullet)
#
# Turret families (113-196) share one row per family; see tools/BULLET_INVENTORY.md.
# Generated from unit_weapons.tsv, listener.rs turret tables, economy.rs Erekir tables,
# and combat.rs special-case handlers. Re-verify version-sensitive ids against
# desktop.jar 158.1 when the local Mindustry tree is not exactly v158.1.
#
6	dagger,large-weapon	IMPLEMENTED	—	—	—	—	—	—	—	—	—	—
7	mace,flamethrower	IMPLEMENTED	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—
8	fortress,artillery	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—	—	—
9	scepter,scepter-mount	IMPLEMENTED	—	—	—	—	—	DEVIATION	—	—	—	—
10	scepter,scepter-weapon	IMPLEMENTED	—	—	—	—	—	DEVIATION	—	—	—	—
12	reign,reign-weapon	IMPLEMENTED	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	—	—	—	—	—	—
13	reign-frag-child	IMPLEMENTED	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—	—
14	nova,heal-weapon	IMPLEMENTED	—	—	—	—	—	—	IMPLEMENTED	—	—	—
15	pulsar,heal-shotgun	—	—	—	IMPLEMENTED	—	—	DEVIATION	—	—	—	—
17	quasar,beam-weapon	IMPLEMENTED	—	IMPLEMENTED	—	—	DEVIATION	—	IMPLEMENTED	—	—	—
18	vela,vela-weapon	IMPLEMENTED	—	IMPLEMENTED	—	—	DEVIATION	—	IMPLEMENTED	—	—	—
19	vela,repair-beam	—	—	—	—	—	—	—	IMPLEMENTED	—	—	—
20	corvus,corvus-weapon	IMPLEMENTED	—	IMPLEMENTED	—	—	DEVIATION	—	IMPLEMENTED	—	—	—
21	crawler,suicide	—	IMPLEMENTED	—	—	—	—	—	—	—	—	—
22	atrax,atrax-weapon	IMPLEMENTED	—	—	IMPLEMENTED	—	—	—	—	—	—	—
23	spiroct,spiroct-weapon	IMPLEMENTED	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—
24	spiroct,mount-purple	IMPLEMENTED	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—
25	arkyid,spiroct-weapon×3	IMPLEMENTED	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—
26	arkyid,large-purple-mount	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	—	—	DEVIATION	—	—	—	—
27	toxopid,shrapnel-mount	IMPLEMENTED	—	IMPLEMENTED	—	—	—	—	—	—	—	—
28	toxopid,cannon	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—
29	toxopid,frag-child	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	—	—	—	—	—	—	—
30	flare,basic×3	IMPLEMENTED	—	—	—	—	—	—	—	—	—	—
31	horizon,bomb	—	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—	—
32	zenith,missiles	IMPLEMENTED	IMPLEMENTED	—	—	—	—	—	—	—	—	—
33	antumbra,missiles	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	—	—	—	—	—	—	—
34	antumbra,large-bullet	IMPLEMENTED	—	—	—	—	—	—	—	—	—	—
35	eclipse,large-artillery	IMPLEMENTED	IMPLEMENTED	—	IMPLEMENTED	—	—	—	—	—	—	—
36	eclipse,large-laser	IMPLEMENTED	—	IMPLEMENTED	—	—	DEVIATION	—	—	—	—	—
37	poly,poly-weapon	IMPLEMENTED	—	—	—	—	—	—	IMPLEMENTED	—	—	—
38	mega,heal-mount-a	IMPLEMENTED	—	—	—	—	—	—	IMPLEMENTED	—	—	—
39	mega,heal-mount-b	IMPLEMENTED	—	—	—	—	—	—	IMPLEMENTED	—	—	—
