# id	name	speed	damageMult	reloadMult	healthMult	damagePerTick	permanent
0	none	1.000000	1.000000	1.000000	1.000000	0.000000	false
1	burning	1.000000	1.000000	1.000000	1.000000	0.167000	false
2	freezing	0.600000	1.000000	1.000000	0.800000	0.000000	false
3	unmoving	0.000000	1.000000	1.000000	1.000000	0.000000	false
4	slow	0.400000	1.000000	1.000000	1.000000	0.000000	false
5	fast	1.600000	1.000000	1.000000	1.000000	0.000000	false
6	wet	0.940000	1.000000	1.000000	1.000000	0.000000	false
7	muddy	0.940000	1.000000	1.000000	1.000000	0.000000	false
8	melting	0.800000	1.000000	1.000000	0.800000	0.300000	false
9	sapped	0.700000	1.000000	1.000000	0.800000	0.000000	false
10	electrified	0.700000	1.000000	0.600000	1.000000	0.000000	false
11	spore-slowed	0.800000	1.000000	1.000000	1.000000	0.000000	false
12	tarred	0.600000	1.000000	1.000000	1.000000	0.000000	false
13	overdrive	1.150000	1.400000	1.000000	0.950000	-0.010000	true
14	overclock	1.150000	1.150000	1.250000	1.000000	0.000000	false
15	shielded	1.000000	1.000000	1.000000	3.000000	0.000000	false
16	boss	1.000000	1.300000	1.000000	1.500000	0.000000	true
17	shocked	1.000000	1.000000	1.000000	1.000000	0.000000	false
18	blasted	1.000000	1.000000	1.000000	1.000000	0.000000	false
19	corroded	1.000000	1.000000	1.000000	1.000000	0.000000	false
20	disarmed	1.000000	1.000000	1.000000	1.000000	0.000000	false
21	invincible	1.000000	1.000000	1.000000	Infinity	0.000000	false
22	dynamic	1.000000	1.000000	1.000000	1.000000	0.000000	true
